code,long,type,description
TBD,Time To Be Defined,Scheduled,"Scheduled but date and time are not known"
NS,Not Started,Scheduled,
1H,First Half,In Play,"First half in play"
HT,Halftime,In Play,"Finished in the regular time"
2H,Second Half,In Play,"Second half in play"
ET,Extra Time,In Play,"Extra time in play"
BT,Break Time,In Play,"Break during extra time"
P,Penalty In Progress,In Play,"Penalty played after extra time"
SUSP,Match Suspended,In Play,"Suspended by referee's decision, may be rescheduled another day"
INT,Match Interrupted,In Play,"Interrupted by referee's decision, should resume in a few minutes"
FT,Match Finished,Finished,"Finished in the regular time"
AET,Match Finished,Finished,"Finished after extra time without penalty shootout"
PEN,Match Finished,Finished,"Finished after the penalty shootout"
PST,Match Postponed,Postponed,"Postponed to another day; once the new date/time is known status becomes NS"
CANC,Match Cancelled,Cancelled,"Cancelled, match will not be played"
ABD,Match Abandoned,Abandoned,"Abandoned (weather, safety, floodlights, staff/referees); may or may not be rescheduled"
AWD,Technical Loss,Not Played,
WO,WalkOver,Not Played,"Victory by forfeit or absence"
LIVE,In Progress,In Play,"In-progress fixture without half-time or elapsed data available"
